id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase,
Europar.550_00024,23,3,nous,nous,5,y,"Parallèlement, nous avons veillé à ce que les régions septentrionales de l'Union, le nord de la Finlande, le nord de la Suède, le nord de la Norvège, le Groenland et d'autres régions où les ballasts électroniques ne conviennent pas puissent continuer à utiliser des ballasts magnétiques.",
Europar.550_00024,23,10,régions,région,4,n,"Parallèlement, nous avons veillé à ce que les régions septentrionales de l'Union, le nord de la Finlande, le nord de la Suède, le nord de la Norvège, le Groenland et d'autres régions où les ballasts électroniques ne conviennent pas puissent continuer à utiliser des ballasts magnétiques.",?
Europar.550_00025,24,13,je,moi,5,y,"Il s'agit, en somme, d'une excellente proposition et je recommande -comme l'ont convenu les groupes- son soutien et son adoption par tous.",
Europar.550_00025,24,21,groupes,groupe,1,y,"Il s'agit, en somme, d'une excellente proposition et je recommande -comme l'ont convenu les groupes- son soutien et son adoption par tous.",
Europar.550_00026,25,1,Madame,monsieur,3,y,"Madame la Présidente, j'interviendrai contre, en effet, pour une raison de principe qui me paraît tout à fait essentielle et qui a trait au respect des Traités, et notamment de l'article 7 du traité d'Amsterdam.",
Europar.550_00026,25,5,j',moi,1,y,"Madame la Présidente, j'interviendrai contre, en effet, pour une raison de principe qui me paraît tout à fait essentielle et qui a trait au respect des Traités, et notamment de l'article 7 du traité d'Amsterdam.",
Europar.550_00026,25,18,me,moi,1,y,"Madame la Présidente, j'interviendrai contre, en effet, pour une raison de principe qui me paraît tout à fait essentielle et qui a trait au respect des Traités, et notamment de l'article 7 du traité d'Amsterdam.",
Europar.550_00027,26,1,Madame,monsieur,3,y,"Madame la Présidente, mes chers collègues, nous croyions, jusqu'à présent, que l'Union européenne était, selon les dispositions des traités de Rome et de Paris qui avaient fondé les Communautés, devenues Union, une association d'États libres, indépendants et souverains.",
Europar.550_00027,26,9,nous,nous,5,y,"Madame la Présidente, mes chers collègues, nous croyions, jusqu'à présent, que l'Union européenne était, selon les dispositions des traités de Rome et de Paris qui avaient fondé les Communautés, devenues Union, une association d'États libres, indépendants et souverains.",
Europar.550_00027,26,37,Communautés,communauté,1,n,"Madame la Présidente, mes chers collègues, nous croyions, jusqu'à présent, que l'Union européenne était, selon les dispositions des traités de Rome et de Paris qui avaient fondé les Communautés, devenues Union, une association d'États libres, indépendants et souverains.",
Europar.550_00028,27,5,évolutions,évolution,4,n,"Même si de nombreuses évolutions nous avaient permis d'en douter, nous avions considéré malgré tout que tel était le cas et, récemment encore, on faisait allusion, du bout des lèvres, il est vrai, au principe de subsidiarité.",
Europar.550_00028,27,6,nous,nous,5,y,"Même si de nombreuses évolutions nous avaient permis d'en douter, nous avions considéré malgré tout que tel était le cas et, récemment encore, on faisait allusion, du bout des lèvres, il est vrai, au principe de subsidiarité.",
Europar.550_00028,27,13,nous,nous,1,y,"Même si de nombreuses évolutions nous avaient permis d'en douter, nous avions considéré malgré tout que tel était le cas et, récemment encore, on faisait allusion, du bout des lèvres, il est vrai, au principe de subsidiarité.",
Europar.550_00028,27,28,on,on,5,y,"Même si de nombreuses évolutions nous avaient permis d'en douter, nous avions considéré malgré tout que tel était le cas et, récemment encore, on faisait allusion, du bout des lèvres, il est vrai, au principe de subsidiarité.",
Europar.550_00029,28,9,l'on,on,1,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,12,Madame,monsieur,3,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,19,vous,vous,5,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,20,nous,nous,5,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,28,Conférence,conférence,4,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,31,présidents,président,1,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,32,nous,nous,5,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,46,on,on,1,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,71,gouvernements,gouvernement,1,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,83,majorité,majorité,4,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00029,28,97,gouvernement,gouvernement,1,y,"Or, il apparaît aujourd'hui évident que si l'on ouvre, Madame la Présidente, le débat que vous nous demandez d'ouvrir, et que la Conférence des présidents nous demande d'ouvrir, sur le fondement de l'article 50, alors on ouvre une brèche redoutable dans le principe de la liberté, de la souveraineté des États, de la constitution libre des gouvernements qui sont issus d'élections démocratiques, alors demain une autre majorité dans ce Parlement pourra s'arroger une immixtion dans la constitution d'un gouvernement résultant cependant d'élections libres, régulières, paisibles et démocratiques à l'intérieur d'un État membre.",
Europar.550_00030,29,2,vous,vous,1,y,Si vous ratifiez...,
Europar.550_00031,30,1,Madame,monsieur,3,y,"Madame la Présidente, cette résolution me pose un problème majeur.",
Europar.550_00031,30,7,me,moi,1,y,"Madame la Présidente, cette résolution me pose un problème majeur.",
Europar.550_00032,31,1,Je,moi,1,y,Je me suis finalement abstenue en ce qui concerne le vote pour un certain nombre de raisons.,
Europar.550_00032,31,2,me,moi,1,y,Je me suis finalement abstenue en ce qui concerne le vote pour un certain nombre de raisons.,
Europar.550_00033,32,1,Je,moi,5,y,"Je voyais d'un bon oeil l'amendement du groupe EDD, rejetant l'interférence de l'UE dans la formation du gouvernement d'États membres, mais j'ai dû m'abstenir parce que cela suivait la condamnation de la xénophobie, du racisme, etc., et j'ai estimé que cela pourrait être mal interprété.",
Europar.550_00033,32,11,groupe,groupe,1,y,"Je voyais d'un bon oeil l'amendement du groupe EDD, rejetant l'interférence de l'UE dans la formation du gouvernement d'États membres, mais j'ai dû m'abstenir parce que cela suivait la condamnation de la xénophobie, du racisme, etc., et j'ai estimé que cela pourrait être mal interprété.",
Europar.550_00033,32,25,gouvernement,gouvernement,1,y,"Je voyais d'un bon oeil l'amendement du groupe EDD, rejetant l'interférence de l'UE dans la formation du gouvernement d'États membres, mais j'ai dû m'abstenir parce que cela suivait la condamnation de la xénophobie, du racisme, etc., et j'ai estimé que cela pourrait être mal interprété.",
Europar.550_00033,32,31,j',moi,1,y,"Je voyais d'un bon oeil l'amendement du groupe EDD, rejetant l'interférence de l'UE dans la formation du gouvernement d'États membres, mais j'ai dû m'abstenir parce que cela suivait la condamnation de la xénophobie, du racisme, etc., et j'ai estimé que cela pourrait être mal interprété.",
Europar.550_00033,32,34,m',moi,1,y,"Je voyais d'un bon oeil l'amendement du groupe EDD, rejetant l'interférence de l'UE dans la formation du gouvernement d'États membres, mais j'ai dû m'abstenir parce que cela suivait la condamnation de la xénophobie, du racisme, etc., et j'ai estimé que cela pourrait être mal interprété.",
Europar.550_00033,32,53,j',moi,5,y,"Je voyais d'un bon oeil l'amendement du groupe EDD, rejetant l'interférence de l'UE dans la formation du gouvernement d'États membres, mais j'ai dû m'abstenir parce que cela suivait la condamnation de la xénophobie, du racisme, etc., et j'ai estimé que cela pourrait être mal interprété.",
Europar.550_00033,32,57,cela,cela,4,n,"Je voyais d'un bon oeil l'amendement du groupe EDD, rejetant l'interférence de l'UE dans la formation du gouvernement d'États membres, mais j'ai dû m'abstenir parce que cela suivait la condamnation de la xénophobie, du racisme, etc., et j'ai estimé que cela pourrait être mal interprété.",
Europar.550_00034,33,3,je,moi,1,y,"Toutefois, je me pose des questions quant à la pertinence de cela.",
Europar.550_00034,33,4,me,moi,1,y,"Toutefois, je me pose des questions quant à la pertinence de cela.",
Europar.550_00035,34,10,lutte,lutte,4,n,"Premièrement, il y a la question concernant la lutte contre l'intolérance au moyen de l'intolérance et les conséquences à long terme de cette approche.",
Europar.550_00035,34,22,conséquences,conséquence,10,n,"Premièrement, il y a la question concernant la lutte contre l'intolérance au moyen de l'intolérance et les conséquences à long terme de cette approche.",
Europar.550_00036,35,1,Je,moi,1,y,Je me pose également des questions quant à la sagesse de l'EU et sa réaction à la formation du gouvernement en Autriche et la manière dont cela affectera l'opinion publique là-bas.,
Europar.550_00036,35,2,me,moi,1,y,Je me pose également des questions quant à la sagesse de l'EU et sa réaction à la formation du gouvernement en Autriche et la manière dont cela affectera l'opinion publique là-bas.,
Europar.550_00036,35,22,gouvernement,gouvernement,1,y,Je me pose également des questions quant à la sagesse de l'EU et sa réaction à la formation du gouvernement en Autriche et la manière dont cela affectera l'opinion publique là-bas.,
Europar.550_00037,36,9,opposition,opposition,4,n,"Pour l'instant, il semble que l'opposition des gouvernements étrangers favorise plus que ne handicape le parti de Haider.",
Europar.550_00037,36,12,gouvernements,gouvernement,1,y,"Pour l'instant, il semble que l'opposition des gouvernements étrangers favorise plus que ne handicape le parti de Haider.",
Europar.550_00037,36,20,parti,parti,5,y,"Pour l'instant, il semble que l'opposition des gouvernements étrangers favorise plus que ne handicape le parti de Haider.",
Europar.550_00037,36,22,Haider,Haider,2,y,"Pour l'instant, il semble que l'opposition des gouvernements étrangers favorise plus que ne handicape le parti de Haider.",
Europar.550_00038,37,3,États-Unis,États-Unis,4,y,Même les États-Unis ont déclaré qu'ils envisageaient de rompre leurs relations diplomatiques.,
Europar.550_00038,37,7,ils,eux,4,y,Même les États-Unis ont déclaré qu'ils envisageaient de rompre leurs relations diplomatiques.,
Europar.550_00039,38,1,Nous,nous,1,y,"Nous nous demandons si cela n'attise pas le feu de la xénophobie, ainsi que les partis et les personnes en sont les partisans.",
Europar.550_00039,38,2,nous,nous,1,y,"Nous nous demandons si cela n'attise pas le feu de la xénophobie, ainsi que les partis et les personnes en sont les partisans.",
Europar.550_00039,38,5,cela,cela,4,n,"Nous nous demandons si cela n'attise pas le feu de la xénophobie, ainsi que les partis et les personnes en sont les partisans.",
Europar.550_00039,38,18,partis,parti,41,y,"Nous nous demandons si cela n'attise pas le feu de la xénophobie, ainsi que les partis et les personnes en sont les partisans.",
Europar.550_00039,38,21,personnes,personne,11,y,"Nous nous demandons si cela n'attise pas le feu de la xénophobie, ainsi que les partis et les personnes en sont les partisans.",
Europar.550_00039,38,25,partisans,partisan,1,y,"Nous nous demandons si cela n'attise pas le feu de la xénophobie, ainsi que les partis et les personnes en sont les partisans.",
Europar.550_00040,39,1,Je,moi,5,y,Je pense vraiment qu'il convient d'être extrêmement prudent.,
Europar.550_00041,40,2,vous,vous,5,y,"Si vous voulez combattre la xénophobie et le racisme -et je crois que nous devons le faire-, nous devons en examiner les causes profondes.",
Europar.550_00041,40,12,je,moi,5,y,"Si vous voulez combattre la xénophobie et le racisme -et je crois que nous devons le faire-, nous devons en examiner les causes profondes.",
Europar.550_00041,40,15,nous,nous,1,y,"Si vous voulez combattre la xénophobie et le racisme -et je crois que nous devons le faire-, nous devons en examiner les causes profondes.",
Europar.550_00041,40,21,nous,nous,1,y,"Si vous voulez combattre la xénophobie et le racisme -et je crois que nous devons le faire-, nous devons en examiner les causes profondes.",
Europar.550_00042,41,1,Nous,nous,1,y,Nous devons considérer les personnes qui votent pour ces partis et comprendre pourquoi cette situation voit le jour.,
Europar.550_00042,41,5,personnes,personne,1,y,Nous devons considérer les personnes qui votent pour ces partis et comprendre pourquoi cette situation voit le jour.,
Europar.550_00042,41,10,partis,parti,1,y,Nous devons considérer les personnes qui votent pour ces partis et comprendre pourquoi cette situation voit le jour.,
Europar.550_00042,41,15,situation,situation,4,n,Nous devons considérer les personnes qui votent pour ces partis et comprendre pourquoi cette situation voit le jour.,
Europar.550_00043,42,9,plupart,plupart,4,y,"C'est un état de fait que la plupart des personnes au Parlement ne veulent pas mais nous devons faire preuve de prudence quant à l'approche que nous adoptons, afin de ne pas obtenir l'opposé de ce que nous essayons de réaliser.",
Europar.550_00043,42,12,personnes,personne,1,y,"C'est un état de fait que la plupart des personnes au Parlement ne veulent pas mais nous devons faire preuve de prudence quant à l'approche que nous adoptons, afin de ne pas obtenir l'opposé de ce que nous essayons de réaliser.",
Europar.550_00043,42,20,nous,nous,1,y,"C'est un état de fait que la plupart des personnes au Parlement ne veulent pas mais nous devons faire preuve de prudence quant à l'approche que nous adoptons, afin de ne pas obtenir l'opposé de ce que nous essayons de réaliser.",
Europar.550_00043,42,31,nous,nous,5,y,"C'est un état de fait que la plupart des personnes au Parlement ne veulent pas mais nous devons faire preuve de prudence quant à l'approche que nous adoptons, afin de ne pas obtenir l'opposé de ce que nous essayons de réaliser.",
Europar.550_00043,42,44,nous,nous,5,y,"C'est un état de fait que la plupart des personnes au Parlement ne veulent pas mais nous devons faire preuve de prudence quant à l'approche que nous adoptons, afin de ne pas obtenir l'opposé de ce que nous essayons de réaliser.",
Europar.550_00044,43,1,Madame,monsieur,3,y,"Madame la Présidente, je voulais dire à M. Wurtz que la Commission n'a pas pour doctrine la doctrine Brejnev de souveraineté limitée et que, jusqu'à preuve du contraire, nous ne sommes pas dans le cadre des articles 6 et 7.",
Europar.550_00044,43,5,je,moi,5,y,"Madame la Présidente, je voulais dire à M. Wurtz que la Commission n'a pas pour doctrine la doctrine Brejnev de souveraineté limitée et que, jusqu'à preuve du contraire, nous ne sommes pas dans le cadre des articles 6 et 7.",
