id_sentence_conll,index_phrase,index_token,form,lemma,score,annotateur1,annotateur2,phrase
frwiki_50.1000_00010,9,46,soldats,soldat,5,y,y,"Plus tard, le bombardement des tranchées françaises fera l'objet d'une polémique, à la suite d'un témoignage : Le général Réveilhac, ordonnateur de l'attaque, aurait demandé à l'artillerie de pilonner les positions française pour obliger les soldats à sortir de leurs tranchées."
frwiki_50.1000_00011,10,7,hommes,homme,1,y,y,"Suite à la désobéissance des hommes de la 21e, le général Réveilhac exige des sanctions."
frwiki_50.1000_00011,10,13,général,général,5,y,y,"Suite à la désobéissance des hommes de la 21e, le général Réveilhac exige des sanctions."
frwiki_50.1000_00011,10,14,Réveilhac,Réveilhac,2,y,y,"Suite à la désobéissance des hommes de la 21e, le général Réveilhac exige des sanctions."
frwiki_50.1000_00012,11,2,capitaine,capitaine,3,y,y,"Le capitaine Equilbey, commandant de la compagnie, est alors tenu de transmettre à ses supérieurs une liste portant les noms de 6 caporaux et de 18 hommes de troupe, choisis parmi les plus jeunes, à raison de deux par escouade."
frwiki_50.1000_00012,11,3,Equilbey,Equilbey,2,y,y,"Le capitaine Equilbey, commandant de la compagnie, est alors tenu de transmettre à ses supérieurs une liste portant les noms de 6 caporaux et de 18 hommes de troupe, choisis parmi les plus jeunes, à raison de deux par escouade."
frwiki_50.1000_00012,11,5,commandant,commandant,1,y,y,"Le capitaine Equilbey, commandant de la compagnie, est alors tenu de transmettre à ses supérieurs une liste portant les noms de 6 caporaux et de 18 hommes de troupe, choisis parmi les plus jeunes, à raison de deux par escouade."
frwiki_50.1000_00012,11,17,supérieurs,supérieur,5,y,y,"Le capitaine Equilbey, commandant de la compagnie, est alors tenu de transmettre à ses supérieurs une liste portant les noms de 6 caporaux et de 18 hommes de troupe, choisis parmi les plus jeunes, à raison de deux par escouade."
frwiki_50.1000_00012,11,25,caporaux,caporal,1,y,y,"Le capitaine Equilbey, commandant de la compagnie, est alors tenu de transmettre à ses supérieurs une liste portant les noms de 6 caporaux et de 18 hommes de troupe, choisis parmi les plus jeunes, à raison de deux par escouade."
frwiki_50.1000_00012,11,29,hommes,homme,1,y,y,"Le capitaine Equilbey, commandant de la compagnie, est alors tenu de transmettre à ses supérieurs une liste portant les noms de 6 caporaux et de 18 hommes de troupe, choisis parmi les plus jeunes, à raison de deux par escouade."
frwiki_50.1000_00012,11,31,troupe,troupe,1,y,y,"Le capitaine Equilbey, commandant de la compagnie, est alors tenu de transmettre à ses supérieurs une liste portant les noms de 6 caporaux et de 18 hommes de troupe, choisis parmi les plus jeunes, à raison de deux par escouade."
frwiki_50.1000_00013,12,6,général,général,1,y,y,"Le 15 mars, le général donne l'ordre de mise de jugement directe des 24 hommes désignés."
frwiki_50.1000_00013,12,18,hommes,homme,1,y,y,"Le 15 mars, le général donne l'ordre de mise de jugement directe des 24 hommes désignés."
frwiki_50.1000_00015,14,20,général,général,1,y,y,"Le 16 mars, les inculpés comparaissent devant le Conseil de guerre de la 60e division demandé par le général Réveilhac avec le motif : ""refus de bondir hors des tranchées""."
frwiki_50.1000_00015,14,21,Réveilhac,Réveilhac,2,y,y,"Le 16 mars, les inculpés comparaissent devant le Conseil de guerre de la 60e division demandé par le général Réveilhac avec le motif : ""refus de bondir hors des tranchées""."
frwiki_50.1000_00016,15,25,caporal,caporal,3,y,y,"""Quiconque montait devait être fauché littéralement soit par les nôtres, soit par le feu des mitrailleurs allemands"", déclarera le caporal Maupas lors de son interrogatoire."
frwiki_50.1000_00016,15,26,Maupas,Maupas,2,y,y,"""Quiconque montait devait être fauché littéralement soit par les nôtres, soit par le feu des mitrailleurs allemands"", déclarera le caporal Maupas lors de son interrogatoire."
frwiki_50.1000_00017,16,6,hommes,homme,1,y,y,Le verdict acquitte les 18 hommes du rang et 2 caporaux (Gosselin et Lorin).
frwiki_50.1000_00017,16,12,caporaux,caporal,11,y,y,Le verdict acquitte les 18 hommes du rang et 2 caporaux (Gosselin et Lorin).
frwiki_50.1000_00017,16,14,Gosselin,Gosselin,2,y,y,Le verdict acquitte les 18 hommes du rang et 2 caporaux (Gosselin et Lorin).
frwiki_50.1000_00017,16,16,Lorin,Lorin,12,y,y,Le verdict acquitte les 18 hommes du rang et 2 caporaux (Gosselin et Lorin).
frwiki_50.1000_00018,17,4,caporaux,caporal,1,y,y,"Seuls 4 autres caporaux, tous originaires de la Manche sont condamnés à mort le 16 mars 1915."
frwiki_50.1000_00019,18,19,hommes,homme,1,y,y,"Si le refus de sortir des tranchées était indiscutable, la faute était partagée entre tous les hommes et le choix de ces 4 caporaux fut totalement arbitraire."
frwiki_50.1000_00019,18,26,caporaux,caporal,1,y,y,"Si le refus de sortir des tranchées était indiscutable, la faute était partagée entre tous les hommes et le choix de ces 4 caporaux fut totalement arbitraire."
frwiki_50.1000_00021,20,32,Théophile,Théophile,2,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00021,20,38,instituteur,instituteur,1,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00021,20,43,Louis,Louis,12,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00021,20,49,cheminot,cheminot,1,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00021,20,61,Louis,Louis,12,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00021,20,77,Lucien,Lucien,12,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00021,20,82,Ferré,Ferré,2,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00021,20,87,garçon,garçon,1,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00021,20,96,camarades,camarade,5,y,y,"Le lendemain, 17 mars 1915, en début d'après-midi et deux heures environ avant que n'arrive le recours en grâce qui commuait la peine en travaux forcés, Théophile Maupas, 40 ans, instituteur de Le Chefresne, Louis Lefoulon, 30 ans, cheminot aux Chemins de fer de l'Ouest à Caen, Louis Girard, 28 ans, horloger, originaire de Blainville résidant à Paris 17e et Lucien Lechat originaire de Le Ferré, 23 ans, garçon de café à Vitré sont fusillés par leurs camarades du 336e d'Infanterie."
frwiki_50.1000_00022,21,7,enfants,enfant,1,y,y,"Maupas, marié, avait 2 enfants ;"
frwiki_50.1000_00024,23,1,Girard,Girard,2,y,y,"Girard, marié, avait aussi un enfant, seul Lechat était célibataire."
frwiki_50.1000_00024,23,8,enfant,enfant,1,y,y,"Girard, marié, avait aussi un enfant, seul Lechat était célibataire."
frwiki_50.1000_00024,23,11,Lechat,Lechat,2,y,y,"Girard, marié, avait aussi un enfant, seul Lechat était célibataire."
frwiki_50.1000_00026,25,9,veuve,veuve,1,y,y,"Dès la fin de la guerre, la veuve de Théophile Maupas, soutenue par la Ligue des droits de l'Homme contactée dès le mois d'avril 1915, entama un combat pour la réhabilitation de son époux et des autres caporaux fusillés de Souain ;"
frwiki_50.1000_00026,25,11,Théophile,Théophile,2,y,y,"Dès la fin de la guerre, la veuve de Théophile Maupas, soutenue par la Ligue des droits de l'Homme contactée dès le mois d'avril 1915, entama un combat pour la réhabilitation de son époux et des autres caporaux fusillés de Souain ;"
frwiki_50.1000_00026,25,23,Homme,homme,1,y,y,"Dès la fin de la guerre, la veuve de Théophile Maupas, soutenue par la Ligue des droits de l'Homme contactée dès le mois d'avril 1915, entama un combat pour la réhabilitation de son époux et des autres caporaux fusillés de Souain ;"
frwiki_50.1000_00026,25,40,époux,époux,1,y,y,"Dès la fin de la guerre, la veuve de Théophile Maupas, soutenue par la Ligue des droits de l'Homme contactée dès le mois d'avril 1915, entama un combat pour la réhabilitation de son époux et des autres caporaux fusillés de Souain ;"
frwiki_50.1000_00026,25,45,caporaux,caporal,1,y,y,"Dès la fin de la guerre, la veuve de Théophile Maupas, soutenue par la Ligue des droits de l'Homme contactée dès le mois d'avril 1915, entama un combat pour la réhabilitation de son époux et des autres caporaux fusillés de Souain ;"
frwiki_50.1000_00026,25,48,Souain,Souain,2,y,y,"Dès la fin de la guerre, la veuve de Théophile Maupas, soutenue par la Ligue des droits de l'Homme contactée dès le mois d'avril 1915, entama un combat pour la réhabilitation de son époux et des autres caporaux fusillés de Souain ;"
frwiki_50.1000_00027,26,25,institutrice,instituteur,1,y,y,"combat contre les institutions, mené sans relâche, qui dura près de deux décennies et qui, en dehors de son activité d'institutrice, l'occupa à plein temps."
frwiki_50.1000_00028,27,7,ministère,ministère,4,y,y,"Le 11 avril 1920, le ministère de la justice refusait d'examiner le dossier."
frwiki_50.1000_00029,28,10,caporaux,caporal,1,y,y,"Le 26 mars 1922, le dossier des caporaux de Souain était rejeté par la Cour de Cassation qui jugeait sur la forme sans trouver à redire sur le fond, puis une seconde fois le 21 avril 1926."
frwiki_50.1000_00029,28,17,Cour,cour,78,y,y,"Le 26 mars 1922, le dossier des caporaux de Souain était rejeté par la Cour de Cassation qui jugeait sur la forme sans trouver à redire sur le fond, puis une seconde fois le 21 avril 1926."
frwiki_50.1000_00030,29,1,Blanche,Blanche,2,y,y,"Blanche Maupas créait alors le ""Comité Maupas"" qui deviendrait en 1928 ""Comité national pour la réhabilitation des victimes de guerre""."
frwiki_50.1000_00030,29,7,Comité,comité,111,y,y,"Blanche Maupas créait alors le ""Comité Maupas"" qui deviendrait en 1928 ""Comité national pour la réhabilitation des victimes de guerre""."
frwiki_50.1000_00030,29,15,Comité,comité,1,y,y,"Blanche Maupas créait alors le ""Comité Maupas"" qui deviendrait en 1928 ""Comité national pour la réhabilitation des victimes de guerre""."
frwiki_50.1000_00030,29,22,victimes,victime,1,y,y,"Blanche Maupas créait alors le ""Comité Maupas"" qui deviendrait en 1928 ""Comité national pour la réhabilitation des victimes de guerre""."
frwiki_50.1000_00031,30,25,Blanche,Blanche,2,y,y,"Par deux fois, malgré le long travail d'enquête, l'accumulation des témoignages et l'épaisseur des dossiers constitués par Blanche Maupas et la Ligue des Droits de l'Homme, les demandes de réhabilitation avaient été rejetées."
frwiki_50.1000_00031,30,29,Ligue,Ligue,10,y,y,"Par deux fois, malgré le long travail d'enquête, l'accumulation des témoignages et l'épaisseur des dossiers constitués par Blanche Maupas et la Ligue des Droits de l'Homme, les demandes de réhabilitation avaient été rejetées."
frwiki_50.1000_00031,30,35,Homme,homme,1,y,y,"Par deux fois, malgré le long travail d'enquête, l'accumulation des témoignages et l'épaisseur des dossiers constitués par Blanche Maupas et la Ligue des Droits de l'Homme, les demandes de réhabilitation avaient été rejetées."
frwiki_50.1000_00032,31,1,Eulalie,Eulalie,2,y,y,"Eulalie Lechat, la soeur du caporal Lechat, avait elle aussi créé un comité en 1923 avec l'aide de la Ligue des Droits de l'Homme."
frwiki_50.1000_00032,31,8,caporal,caporal,1,y,y,"Eulalie Lechat, la soeur du caporal Lechat, avait elle aussi créé un comité en 1923 avec l'aide de la Ligue des Droits de l'Homme."
frwiki_50.1000_00032,31,9,Lechat,Lechat,2,y,y,"Eulalie Lechat, la soeur du caporal Lechat, avait elle aussi créé un comité en 1923 avec l'aide de la Ligue des Droits de l'Homme."
frwiki_50.1000_00032,31,16,comité,comité,1,y,y,"Eulalie Lechat, la soeur du caporal Lechat, avait elle aussi créé un comité en 1923 avec l'aide de la Ligue des Droits de l'Homme."
frwiki_50.1000_00032,31,30,Homme,homme,1,y,y,"Eulalie Lechat, la soeur du caporal Lechat, avait elle aussi créé un comité en 1923 avec l'aide de la Ligue des Droits de l'Homme."
frwiki_50.1000_00033,32,2,caporal,caporal,3,y,y,Le caporal Lechat fut ré-inhumé au cimetière du Ferré le 16 octobre 1924.
frwiki_50.1000_00033,32,3,Lechat,Lechat,2,y,y,Le caporal Lechat fut ré-inhumé au cimetière du Ferré le 16 octobre 1924.
frwiki_50.1000_00035,34,2,presse,presse,4,y,y,la presse régionale et nationale ne cessa de parler de l'affaire et les soutiens affluèrent de dizaines d'associations de mutilés de guerre et d'anciens combattants.
frwiki_50.1000_00036,35,17,députés,député,1,y,y,"Il y eut de nombreuses signatures de motions, des protestations devant la chambre des députés, toutes demandant la réhabilitation des caporaux de Souain."
frwiki_50.1000_00036,35,25,caporaux,caporal,1,y,y,"Il y eut de nombreuses signatures de motions, des protestations devant la chambre des députés, toutes demandant la réhabilitation des caporaux de Souain."
frwiki_50.1000_00036,35,27,Souain,Souain,2,y,y,"Il y eut de nombreuses signatures de motions, des protestations devant la chambre des députés, toutes demandant la réhabilitation des caporaux de Souain."
frwiki_50.1000_00037,36,14,Cour,cour,4,y,y,Il fallut cependant attendre jusqu'au 3 mars 1934 pour que la Cour spéciale de justice accepte de juger sur le fond et donne un avis favorable à la réhabilitation des 4 caporaux de Souain.
frwiki_50.1000_00037,36,35,caporaux,caporal,1,y,y,Il fallut cependant attendre jusqu'au 3 mars 1934 pour que la Cour spéciale de justice accepte de juger sur le fond et donne un avis favorable à la réhabilitation des 4 caporaux de Souain.
frwiki_50.1000_00038,37,24,juges,juge,1,y,y,"Cette cour, nouvellement instaurée pour examiner les dossiers en suspens des Conseils de guerre, comprenait, à côté des juges et à parité, des représentants des anciens combattants."
frwiki_50.1000_00038,37,30,représentants,représentant,1,y,y,"Cette cour, nouvellement instaurée pour examiner les dossiers en suspens des Conseils de guerre, comprenait, à côté des juges et à parité, des représentants des anciens combattants."
frwiki_50.1000_00039,38,2,épouses,épouse,1,y,y,"Les épouses des fusillés reçurent le franc symbolique au titre de dommages et intérêts, mais l'essentiel était que ces 4 hommes soient réhabilités dans la mémoire des Français et que leurs veuves puissent enfin faire valoir leurs droits à pension."
frwiki_50.1000_00039,38,8,franc,franc,1,y,y,"Les épouses des fusillés reçurent le franc symbolique au titre de dommages et intérêts, mais l'essentiel était que ces 4 hommes soient réhabilités dans la mémoire des Français et que leurs veuves puissent enfin faire valoir leurs droits à pension."
frwiki_50.1000_00039,38,25,hommes,homme,1,y,y,"Les épouses des fusillés reçurent le franc symbolique au titre de dommages et intérêts, mais l'essentiel était que ces 4 hommes soient réhabilités dans la mémoire des Français et que leurs veuves puissent enfin faire valoir leurs droits à pension."
frwiki_50.1000_00039,38,37,veuves,veuve,5,y,y,"Les épouses des fusillés reçurent le franc symbolique au titre de dommages et intérêts, mais l'essentiel était que ces 4 hommes soient réhabilités dans la mémoire des Français et que leurs veuves puissent enfin faire valoir leurs droits à pension."
frwiki_50.1000_00040,39,1,Blanche,Blanche,6,y,y,"Blanche Maupas avait pu, à titre individuel, obtenir cette compensation dès 1921."
frwiki_50.1000_00041,40,13,Théophile,Théophile,2,y,y,"En 1925, à Sartilly, (Manche), lieu où Théophile Maupas avait été ré-inhumé en août 1923 en présence de 5 000 personnes, fut érigé un monument à la mémoire des Caporaux de Souain."
frwiki_50.1000_00041,40,25,personnes,personne,1,y,y,"En 1925, à Sartilly, (Manche), lieu où Théophile Maupas avait été ré-inhumé en août 1923 en présence de 5 000 personnes, fut érigé un monument à la mémoire des Caporaux de Souain."
frwiki_50.1000_00041,40,36,Caporaux,caporal,1,y,y,"En 1925, à Sartilly, (Manche), lieu où Théophile Maupas avait été ré-inhumé en août 1923 en présence de 5 000 personnes, fut érigé un monument à la mémoire des Caporaux de Souain."
frwiki_50.1000_00043,42,4,Percy,Percy,2,y,y,"L'école de Percy porte le nom de ""Blanche et Théophile Maupas"" depuis 1998."
frwiki_50.1000_00043,42,10,Blanche,Blanche,2,y,y,"L'école de Percy porte le nom de ""Blanche et Théophile Maupas"" depuis 1998."
frwiki_50.1000_00043,42,12,Théophile,Théophile,12,y,y,"L'école de Percy porte le nom de ""Blanche et Théophile Maupas"" depuis 1998."
frwiki_50.1000_00044,43,2,film,film,4,y,y,"Le film de Stanley Kubrick, Les Sentiers de la gloire, qui reste une fiction relative aux fusillés pour l'exemple de la Première Guerre mondiale, s'est inspiré en partie de ce fait réel."
frwiki_50.1000_00044,43,4,Stanley,Stanley,2,y,y,"Le film de Stanley Kubrick, Les Sentiers de la gloire, qui reste une fiction relative aux fusillés pour l'exemple de la Première Guerre mondiale, s'est inspiré en partie de ce fait réel."
frwiki_50.1000_00045,44,8,Théo,Théo,2,y,y,"Un livre, Pour l'honneur de Théo et des caporaux de Souain, écrit par Jacqueline Laisné, l'institutrice qui prit la suite de Blanche Maupas dans son école, raconte également cette histoire."
frwiki_50.1000_00045,44,12,caporaux,caporal,1,y,y,"Un livre, Pour l'honneur de Théo et des caporaux de Souain, écrit par Jacqueline Laisné, l'institutrice qui prit la suite de Blanche Maupas dans son école, raconte également cette histoire."
frwiki_50.1000_00045,44,14,Souain,Souain,2,y,y,"Un livre, Pour l'honneur de Théo et des caporaux de Souain, écrit par Jacqueline Laisné, l'institutrice qui prit la suite de Blanche Maupas dans son école, raconte également cette histoire."
frwiki_50.1000_00045,44,18,Jacqueline,Jacqueline,6,y,y,"Un livre, Pour l'honneur de Théo et des caporaux de Souain, écrit par Jacqueline Laisné, l'institutrice qui prit la suite de Blanche Maupas dans son école, raconte également cette histoire."
frwiki_50.1000_00045,44,22,institutrice,instituteur,1,y,y,"Un livre, Pour l'honneur de Théo et des caporaux de Souain, écrit par Jacqueline Laisné, l'institutrice qui prit la suite de Blanche Maupas dans son école, raconte également cette histoire."
frwiki_50.1000_00045,44,28,Blanche,Blanche,2,y,y,"Un livre, Pour l'honneur de Théo et des caporaux de Souain, écrit par Jacqueline Laisné, l'institutrice qui prit la suite de Blanche Maupas dans son école, raconte également cette histoire."
frwiki_50.1000_00046,45,1,Blanche,Blanche,6,y,y,"Blanche Maupas, décédée en 1962, avait aussi écrit un livre, paru en 1933, Le Fusillé, dont la réédition en 1994 comporte des illustrations de Tardi."
frwiki_50.1000_00046,45,30,Tardi,Tardi,2,y,y,"Blanche Maupas, décédée en 1962, avait aussi écrit un livre, paru en 1933, Le Fusillé, dont la réédition en 1994 comporte des illustrations de Tardi."
frwiki_50.1000_00048,47,5,Blanche,Blanche,2,y,y,"- Jean-Paul Alègre, Blanche Maupas, l'amour fusillé, Éditions de l'Avant-Scène Théâtre 1998."
frwiki_50.1000_00049,48,2,Général,général,1,y,y,"- Général André Bach, Fusillés pour l'exemple- 1914-1915, Éditions Tallandier, 2003)."
frwiki_50.1000_00050,49,2,Jacqueline,Jacqueline,2,y,y,"- Jacqueline Laisné, Fusillés pour l'exemple, les caporaux de Souain, Éditions Alan Sutton, réédité en 2005."
frwiki_50.1000_00050,49,11,caporaux,caporal,1,y,y,"- Jacqueline Laisné, Fusillés pour l'exemple, les caporaux de Souain, Éditions Alan Sutton, réédité en 2005."
frwiki_50.1000_00050,49,13,Souain,Souain,2,y,y,"- Jacqueline Laisné, Fusillés pour l'exemple, les caporaux de Souain, Éditions Alan Sutton, réédité en 2005."
frwiki_50.1000_00050,49,16,Alan,Alan,2,y,y,"- Jacqueline Laisné, Fusillés pour l'exemple, les caporaux de Souain, Éditions Alan Sutton, réédité en 2005."
frwiki_50.1000_00051,50,17,Tardi,Tardi,2,y,y,"- Blanche Maupas, Le Fusillé, Éditions Isoète, réédition 2002 avec des illustrations de Tardi)."
frwiki_50.1000_00052,51,2,Roger,Roger,2,y,y,"- Roger Monclain, Les Damnés de la Guerre, 1934."
frwiki_50.1000_00052,51,6,Damnés,damné,1,y,y,"- Roger Monclain, Les Damnés de la Guerre, 1934."
frwiki_50.1000_00053,52,17,Odile,Odile,2,y,y,"- Nicolas Offenstadt, Les Fusillés de la Grande Guerre et la mémoire collective, Éditions Odile Jacob, Paris, 1999."
frwiki_50.1000_00057,56,1,Catégories,catégorie,1,y,y,Catégories : Première Guerre mondiale.
frwiki_50.1000_00060,59,17,public,public,1,y,y,"Les charniers de Timisoara est une affaire médiatique, aboutissant à une massive désinformation du public sur la réalité des évènements survenus en Roumanie."
frwiki_50.1000_00061,60,14,chacun,chacun,1,y,y,"Elle semble essentiellement due à une compétition des médias entre eux, chacun reprenant l'information du concurrent en l'amplifiant."
frwiki_50.1000_00062,61,2,sociologue,sociologue,1,y,y,"Le sociologue Pierre Bourdieu a appelé ce phénomène ""la circulation circulaire de l'information""."
frwiki_50.1000_00062,61,3,Pierre,Pierre,2,y,y,"Le sociologue Pierre Bourdieu a appelé ce phénomène ""la circulation circulaire de l'information""."
frwiki_50.1000_00063,62,16,Ceausescu,Ceausescu,2,y,y,"Le phénomène eut lieu en décembre 1989, lors de la chute du régime Ceausescu."
frwiki_50.1000_00064,63,16,morts,mort,4,y,y,"D'abord de quelques centaines de morts annoncés, les télévisions ont annoncé quelques 70 000 morts quelques jours plus tard, trouvés dans des charniers."
frwiki_50.1000_00065,64,2,journal,journal,4,y,y,"Le journal L'Évènement du jeudi du 28 décembre 1989 a même titré ""Dracula était communiste."""
frwiki_50.1000_00075,74,1,Catégories,catégorie,1,y,y,Catégories : Wikipédia : ébauche Roumanie.
frwiki_50.1000_00080,79,27,Saddam,Saddam,2,y,y,"L'affaire des couveuses en Irak s'est déroulée le 10 octobre 1990, lors de l'invasion du Koweït par les armées de Saddam Hussein et était destinée à justifier l'entrée en guerre des puissances occidentales contre l'Irak auprès de l'opinion publique."
frwiki_50.1000_00081,80,3,femme,femme,5,y,y,"Une jeune femme témoigne, les larmes au yeux, devant le congrès américain."
